age,tenth_percentage,twelfth_or_diploma_percentage,math_score,programming_score,communication_score,logical_reasoning_score,creativity_score,leadership_score,teamwork_score,problem_solving_score,coding_interest,design_interest,data_interest,business_interest,security_interest,cloud_interest,certifications_count,project_count,gender_Female,gender_Male,gender_Other,preferred_work_type_Analytical,preferred_work_type_Creative,preferred_work_type_Management,preferred_work_type_Technical,preferred_domain_AI-ML,preferred_domain_Cloud,preferred_domain_Data,preferred_domain_Security,preferred_domain_Web,personality_type_Analytical,personality_type_Creative,personality_type_Leader,personality_type_Logical,internship_experience_No,internship_experience_Yes,favorite_subject_DBMS,favorite_subject_Math,favorite_subject_Python,favorite_subject_Statistics,favorite_subject_Web
19,84.39,85.51,52,61,66,48,76,59,54,70,5,3,6,3,2,2,5,3,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
22,91.71,91.01,75,85,79,84,41,75,95,84,7,5,6,3,5,2,2,2,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False
20,84.45,88.68,77,93,66,100,38,82,100,100,6,1,3,5,5,10,5,5,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
19,79.78,73.87,79,96,66,80,55,50,69,84,4,1,10,4,1,1,4,2,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
19,79.62,55.92,80,100,61,74,52,80,100,100,6,1,1,1,5,3,7,5,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
20,70.09,77.77,96,90,89,99,50,85,80,100,6,2,5,3,1,1,3,0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
20,76.04,85.84,88,83,74,96,49,71,64,64,1,4,10,1,2,4,0,2,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
22,78.28,73.31,66,96,67,74,67,38,95,91,9,5,5,2,4,1,5,2,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
19,95.79,72.86,91,81,66,92,85,51,93,100,4,5,10,6,4,4,3,1,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False
20,86.33,62.56,47,59,85,82,60,71,55,72,2,1,2,7,5,1,3,5,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False
21,77.39,86.28,85,72,80,80,86,63,90,73,3,10,4,2,2,1,2,5,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
22,66.11,72.15,77,100,90,98,36,51,93,97,2,5,5,1,10,1,5,0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False
21,73.64,93.14,55,56,60,68,94,78,81,60,4,4,5,6,1,5,1,1,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False
18,85.62,73.85,74,72,88,74,81,95,98,65,6,4,6,10,3,2,1,2,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
20,72.93,74.84,78,65,87,88,76,31,93,93,7,5,6,3,1,5,3,3,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True
18,76.43,84.37,73,67,71,76,75,68,99,69,4,1,10,3,1,3,0,2,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
19,76.98,73.68,88,99,85,94,58,35,85,90,10,5,3,3,4,1,4,4,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False
20,72.03,75.87,91,76,53,100,51,65,76,92,2,2,4,5,1,10,2,6,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
19,68.13,72.5,73,75,75,84,59,79,70,74,2,4,6,6,5,9,0,2,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
20,71.55,81.63,97,84,74,80,52,59,62,83,1,2,10,1,2,3,3,1,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
22,75.12,83.12,76,95,96,76,41,61,52,86,10,2,1,4,3,6,3,5,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
18,74.47,81.22,100,96,50,82,37,73,80,90,8,4,2,4,1,1,2,3,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False
20,77.58,72.35,91,98,97,80,86,56,52,84,10,1,1,2,5,6,0,4,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
19,91.41,84.06,67,91,47,99,69,58,71,83,3,1,5,3,4,10,1,4,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False
19,86.68,88.3,76,87,61,85,39,35,76,80,3,4,9,5,6,1,3,3,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
19,78.44,82.3,53,68,89,57,39,35,87,68,3,1,4,5,1,8,2,4,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
20,78.36,67.98,62,95,88,72,77,79,55,77,7,8,1,8,4,4,0,2,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True
19,75.95,74.03,99,70,46,97,56,68,71,88,1,2,6,5,3,8,3,4,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
19,69.73,92.03,84,91,62,81,75,43,72,76,6,7,2,5,10,2,1,4,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False
20,87.28,83.38,76,93,68,74,48,38,54,81,10,2,1,4,3,3,4,8,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True
21,75.57,86.42,100,41,56,77,73,59,69,75,2,7,10,4,6,3,6,6,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
20,92.09,67.4,74,72,94,79,62,48,87,92,3,6,8,1,2,2,3,3,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False
19,73.2,71.92,89,71,90,80,69,67,55,73,4,2,4,5,5,10,1,3,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
19,99.0,57.65,63,70,68,88,42,73,87,80,10,2,3,5,3,1,2,2,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False
20,79.96,74.38,94,65,65,73,37,40,70,88,9,6,2,6,5,5,1,4,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
20,86.72,83.12,58,79,55,76,100,71,81,59,4,10,3,7,5,1,5,0,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
18,82.64,55.89,65,79,75,75,58,35,52,83,2,6,7,2,3,4,3,3,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
18,88.97,75.62,98,77,95,73,66,42,67,92,1,6,10,5,5,2,3,6,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
18,76.37,77.73,84,65,45,93,62,31,59,84,5,3,2,3,6,7,3,2,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False
20,74.13,80.24,94,87,61,96,58,57,66,82,4,2,9,1,3,7,1,7,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
19,84.1,65.04,82,75,50,78,67,38,74,69,1,3,1,1,4,10,3,2,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
18,78.98,81.61,74,67,48,74,39,45,92,84,8,4,2,4,1,1,2,6,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
17,78.6,63.11,89,66,56,73,97,37,92,59,1,10,4,4,4,5,1,0,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
21,90.02,57.52,84,85,67,96,42,69,99,76,4,6,6,1,3,10,6,7,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False
23,72.03,72.38,75,74,80,83,59,80,56,75,4,1,8,5,2,5,3,5,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
21,72.57,78.84,78,64,47,59,100,64,100,61,2,10,1,2,2,4,2,3,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
17,76.33,89.55,93,68,93,91,72,78,47,88,2,7,2,5,1,10,0,3,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False
20,74.05,80.78,69,91,52,80,65,49,56,87,8,1,2,6,3,4,2,3,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
21,71.67,61.54,45,52,89,95,66,96,70,62,5,3,5,10,3,6,2,1,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
20,89.16,79.11,92,80,54,94,53,58,73,89,3,3,7,1,1,10,4,0,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False
20,78.12,76.74,57,79,89,68,44,48,70,98,3,1,3,7,1,3,5,2,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False
23,90.25,63.93,72,100,82,90,60,41,77,95,10,6,2,3,6,3,3,2,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True
18,80.92,71.97,92,68,55,79,60,51,67,89,7,1,2,5,3,1,1,3,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
20,86.38,84.15,50,59,72,72,40,91,95,80,2,3,5,8,5,2,1,7,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False
19,85.05,84.78,81,77,85,94,100,70,69,57,5,10,3,2,6,2,5,2,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
19,65.08,66.3,56,57,81,54,85,44,53,56,3,6,3,7,2,4,2,0,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False
18,98.04,77.2,82,90,89,80,73,60,45,79,5,1,4,3,3,3,1,2,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
