student_id,age,gender,tenth_percentage,twelfth_or_diploma_percentage,math_score,programming_score,communication_score,logical_reasoning_score,creativity_score,leadership_score,teamwork_score,problem_solving_score,coding_interest,design_interest,data_interest,business_interest,security_interest,cloud_interest,preferred_work_type,preferred_domain,personality_type,certifications_count,project_count,internship_experience,favorite_subject,career_label
S0270,20,Female,78.85,80.61,41,67,81,58,35,38,84,74,2,3,6,3,1,6,Technical,Web,Logical,1,5,Yes,Web,AI/ML Engineer Trainee
S0193,24,Male,84.19,97.85,99,87,73,85,52,62,50,91,9,1,5,6,6,1,Technical,AI-ML,Logical,0,1,Yes,Python,Junior ML Engineer
S0917,17,Male,83.03,89.37,75,54,71,74,79,79,79,73,6,4,1,8,3,4,Management,Data,Leader,0,1,Yes,Statistics,Junior Business Analyst
S0386,19,Male,78.92,74.59,60,44,51,79,75,51,65,72,5,9,1,5,4,3,Creative,Web,Creative,2,3,Yes,Web,Frontend Developer
S0425,17,Male,87.03,75.49,79,68,62,70,60,80,92,97,8,6,4,5,4,2,Technical,Web,Logical,3,1,No,DBMS,Backend Developer
S0701,17,Female,75.53,62.6,82,71,49,69,86,31,90,51,2,10,3,2,2,6,Creative,Web,Creative,1,0,No,Web,UI/UX Designer
S0958,22,Female,69.63,79.8,68,67,67,78,83,58,83,95,2,6,3,2,3,8,Technical,Cloud,Logical,1,5,Yes,Python,Junior DevOps Engineer
S0951,19,Female,75.95,74.03,99,70,46,97,56,68,71,88,1,2,6,5,3,8,Technical,Cloud,Logical,3,4,No,Python,Junior DevOps Engineer
S0526,19,Male,70.27,65.32,94,91,94,74,56,64,66,81,8,4,1,2,6,6,Technical,Web,Logical,2,5,Yes,Python,Full Stack Developer
S0896,21,Other,73.8,90.07,72,60,93,82,55,77,100,63,6,4,2,8,2,6,Management,Data,Leader,3,2,No,DBMS,Junior Business Analyst
S0368,17,Male,73.54,69.28,58,45,70,67,78,62,70,81,5,10,1,4,5,2,Creative,Web,Creative,2,2,No,Web,Frontend Developer
S0232,17,Male,78.18,73.0,46,70,70,68,80,69,72,89,5,2,6,2,1,3,Technical,Data,Logical,2,4,No,Web,AI/ML Engineer Trainee
S0761,19,Female,65.12,80.58,46,46,62,80,80,57,77,81,4,9,2,3,4,3,Creative,Web,Creative,2,5,Yes,Web,UI/UX Designer
S0478,21,Female,85.34,71.27,99,70,53,88,38,34,70,81,7,4,3,3,2,1,Technical,Web,Logical,1,3,Yes,Python,Backend Developer
S0168,20,Male,77.23,76.13,94,68,75,83,42,66,82,76,9,3,4,4,5,2,Technical,AI-ML,Logical,2,3,No,Python,Junior ML Engineer
S0385,24,Male,76.76,77.62,83,74,72,70,93,54,55,59,1,8,1,6,2,2,Creative,Web,Creative,3,1,No,Web,Frontend Developer
S1026,20,Female,67.36,68.89,63,72,93,90,70,50,55,72,5,2,8,3,3,2,Technical,Data,Logical,0,1,No,DBMS,Database Administrator
S0180,19,Female,84.38,82.1,69,85,56,74,54,41,72,75,10,1,1,4,5,4,Technical,AI-ML,Logical,4,2,Yes,Math,Junior ML Engineer
S0894,18,Other,72.76,80.39,62,77,96,58,72,83,85,69,3,3,3,9,6,3,Management,Data,Leader,2,3,No,DBMS,Junior Business Analyst
S0367,21,Female,90.4,85.23,70,63,72,70,89,75,65,78,2,10,2,4,2,4,Creative,Web,Creative,3,6,Yes,Web,Frontend Developer
S0716,17,Male,80.05,91.37,74,44,90,62,95,33,98,68,6,7,5,6,6,6,Creative,Web,Creative,2,1,No,Web,UI/UX Designer
